                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3753,                 2.3113,                0.89171,                0.83881,                   0.64,                0.72229,                0.44087,                 1.1148,                0.99299,                0.84913,              0.0033257,              0.0033257,              0.0033257
                      2,                 1.2979,                 1.0258,                0.87224,                0.82269,                0.65067,                0.72697,                0.46036,                 1.1089,                0.79442,                0.85161,              0.0066151,              0.0066151,              0.0066151
                      3,                 1.3695,                   0.93,                0.88374,                 0.8459,                0.66825,                0.73796,                0.43955,                 1.1999,                0.82443,                 0.8696,              0.0098605,              0.0098605,              0.0098605
                      4,                 1.3009,                0.84581,                0.87846,                 0.8586,                0.69473,                0.77304,                0.48827,                 1.1005,                0.70485,                0.85402,               0.009802,               0.009802,               0.009802
                      5,                 1.2308,                0.77898,                0.86866,                0.87007,                0.71951,                0.79684,                0.50665,                 1.0621,                 0.6668,                0.84491,               0.009802,               0.009802,               0.009802
                      6,                  1.195,                0.74379,                 0.8615,                0.85964,                0.73372,                0.81042,                0.51325,                 1.1248,                 0.6643,                0.85302,               0.009736,               0.009736,               0.009736
                      7,                 1.1567,                0.70894,                0.85331,                0.86275,                0.74762,                0.82181,                0.53977,                0.99247,                0.61647,                0.83966,                0.00967,                0.00967,                0.00967
                      8,                 1.1376,                0.70439,                0.85424,                0.87692,                0.75801,                0.82915,                0.53653,                0.96674,                0.64542,                0.83607,               0.009604,               0.009604,               0.009604
                      9,                 1.1202,                  0.682,                0.85473,                0.87037,                0.76939,                0.84048,                0.56065,                0.97907,                  0.598,                0.83177,               0.009538,               0.009538,               0.009538
                     10,                 1.0887,                0.65768,                0.84774,                0.87939,                 0.7718,                0.84293,                0.55924,                0.96912,                0.58402,                 0.8318,               0.009472,               0.009472,               0.009472
                     11,                 1.0915,                0.65563,                0.84238,                0.86756,                0.78008,                0.85113,                0.56769,                0.94329,                0.57089,                0.83032,               0.009406,               0.009406,               0.009406
                     12,                 1.0724,                0.64471,                0.84503,                0.88379,                0.77946,                0.85807,                0.58011,                0.93381,                0.55306,                0.82764,                0.00934,                0.00934,                0.00934
                     13,                 1.0653,                0.63734,                0.84089,                0.88162,                0.79359,                0.86578,                0.57787,                0.92618,                0.54986,                0.82676,               0.009274,               0.009274,               0.009274
                     14,                 1.0578,                0.62416,                0.84035,                0.87831,                0.78948,                0.86135,                0.58473,                0.94236,                0.55525,                0.83021,               0.009208,               0.009208,               0.009208
                     15,                 1.0427,                0.61457,                0.83886,                0.88166,                0.79788,                0.86986,                0.59103,                0.89084,                0.52856,                0.82143,               0.009142,               0.009142,               0.009142
                     16,                 1.0336,                0.60924,                0.83931,                0.88091,                0.80628,                0.87642,                0.59047,                0.90911,                0.53255,                0.82475,               0.009076,               0.009076,               0.009076
                     17,                 1.0321,                0.60192,                0.83542,                0.86918,                0.81407,                0.87372,                0.60209,                0.89991,                0.52459,                0.82454,                0.00901,                0.00901,                0.00901
                     18,                 1.0189,                0.60088,                0.83853,                0.88247,                0.80284,                0.87251,                0.59375,                0.89766,                0.53095,                0.82301,               0.008944,               0.008944,               0.008944
                     19,                 1.0131,                0.58797,                0.83344,                0.89754,                0.80937,                0.88281,                0.60145,                0.87896,                 0.5192,                0.82127,               0.008878,               0.008878,               0.008878
                     20,                 1.0053,                0.58051,                0.83209,                0.88706,                 0.8072,                0.87931,                0.60752,                0.87746,                0.50671,                0.82032,               0.008812,               0.008812,               0.008812
                     21,                0.99421,                0.57881,                0.83571,                0.88919,                0.81266,                 0.8814,                0.60732,                0.89072,                0.51148,                0.82099,               0.008746,               0.008746,               0.008746
                     22,                0.98967,                0.57508,                0.83235,                0.88657,                0.82436,                0.88423,                0.60895,                0.87621,                0.50133,                0.81967,                0.00868,                0.00868,                0.00868
                     23,                 0.9774,                0.57418,                0.83126,                 0.8881,                0.81625,                0.88293,                0.61075,                0.85589,                0.49728,                0.81701,               0.008614,               0.008614,               0.008614
                     24,                0.98194,                0.56855,                 0.8328,                0.88294,                0.82502,                0.88678,                0.61484,                0.86822,                0.49355,                0.81949,               0.008548,               0.008548,               0.008548
                     25,                0.98242,                0.56857,                0.83252,                0.88788,                0.82431,                0.89422,                 0.6217,                0.84884,                0.48326,                0.81631,               0.008482,               0.008482,               0.008482
                     26,                0.97196,                0.56805,                 0.8302,                0.89236,                 0.8257,                0.89291,                 0.6128,                0.85801,                 0.4879,                0.81737,               0.008416,               0.008416,               0.008416
                     27,                0.96975,                0.55828,                0.83021,                0.89433,                0.82507,                0.89541,                0.63425,                0.84114,                0.47354,                 0.8184,                0.00835,                0.00835,                0.00835
                     28,                0.96009,                0.54906,                0.82938,                 0.8972,                0.82684,                0.89424,                0.62651,                0.83819,                0.47351,                0.81512,               0.008284,               0.008284,               0.008284
                     29,                0.96507,                 0.5561,                0.82836,                0.89193,                0.83742,                0.89861,                0.63335,                0.83787,                0.47014,                 0.8156,               0.008218,               0.008218,               0.008218
                     30,                0.96147,                0.55252,                0.83025,                0.89003,                0.84121,                0.90212,                0.63705,                0.82884,                0.46502,                0.81393,               0.008152,               0.008152,               0.008152
                     31,                 0.9413,                0.54067,                0.82753,                0.90006,                0.82798,                0.89992,                0.63165,                0.81985,                0.46516,                0.81382,               0.008086,               0.008086,               0.008086
