filters_3,score,filters_2,filters_1,filters_4,dropout,dense_units,learning_rate
64,0.9973261952400208,32,16,128,0.5,256,0.001
32,0.9973261952400208,32,16,128,0.5,256,0.001
32,0.9973261952400208,32,16,128,0.5,256,0.001
32,0.9971033930778503,32,16,128,0.3,256,0.001
32,0.9971033930778503,32,16,128,0.5,256,0.001
64,0.9971033930778503,32,16,128,0.5,256,0.001
32,0.9971033930778503,32,16,128,0.5,256,0.001
32,0.9971033930778503,32,16,128,0.5,256,0.001
64,0.9971033930778503,32,16,128,0.5,256,0.001
32,0.9966577291488647,32,16,128,0.5,256,0.001
32,0.9966577291488647,32,16,128,0.5,256,0.001
64,0.9964349269866943,32,8,64,0.5,512,0.001
64,0.9962121248245239,32,16,128,0.5,256,0.001
32,0.9962121248245239,32,16,128,0.5,256,0.001
32,0.9962121248245239,32,16,128,0.5,256,0.001
32,0.9959893226623535,16,16,128,0.5,256,0.001
32,0.9959893226623535,32,16,128,0.5,256,0.001
32,0.9959893226623535,32,16,128,0.5,256,0.001
32,0.9957664608955383,32,16,128,0.5,256,0.001
32,0.9957664608955383,32,16,128,0.5,256,0.001
64,0.9955436587333679,32,16,128,0.5,256,0.001
32,0.9953208565711975,16,16,64,0.3,512,0.001
64,0.9953208565711975,32,16,128,0.3,256,0.001
64,0.9953208565711975,32,16,128,0.5,256,0.001
32,0.9950980544090271,32,8,64,0.5,256,0.001
32,0.9950980544090271,32,16,128,0.5,256,0.001
32,0.9946523904800415,16,16,128,0.5,256,0.001
32,0.9944295883178711,32,16,128,0.5,256,0.001
32,0.9944295883178711,32,16,128,0.5,256,0.001
32,0.9944295883178711,32,16,128,0.5,256,0.001
64,0.9939839839935303,16,16,128,0.3,256,0.001
32,0.9935383200645447,32,16,128,0.5,256,0.001
64,0.9930927157402039,32,8,128,0.5,256,0.001
32,0.9924242496490479,32,16,128,0.5,256,0.001
32,0.9917557835578918,32,16,128,0.5,256,0.001
32,0.9915329813957214,16,8,64,0.5,256,0.01
32,0.9915329813957214,32,16,128,0.3,256,0.001
32,0.991310179233551,32,8,64,0.5,256,0.01
32,0.9901960492134094,16,16,128,0.5,256,0.01
32,0.9884135723114014,16,16,128,0.3,256,0.01
64,0.9884135723114014,32,8,64,0.5,512,0.01
32,0.9877451062202454,16,16,64,0.5,512,0.01
32,0.9870766401290894,32,8,128,0.5,256,0.01
64,0.9861853718757629,32,16,64,0.3,512,0.01
32,0.9857397675514221,32,8,128,0.3,256,0.01
64,0.9832887649536133,16,16,64,0.5,256,0.01
32,0.9823974967002869,32,16,64,0.5,512,0.01
64,0.9808377623558044,32,8,64,0.3,256,0.01
32,0.976827085018158,32,16,64,0.3,256,0.01
32,0.9741532802581787,16,16,128,0.5,512,0.01
