filters_3,filters_4,score,dense_units,dropout,learning_rate,filters_1,filters_2
64,128,0.9980689287185669,512,0.5,0.001,8,32
64,128,0.9976232647895813,256,0.5,0.001,8,32
64,64,0.9973261952400208,256,0.5,0.001,8,32
64,128,0.9973261952400208,256,0.5,0.001,8,32
64,128,0.9971776604652405,512,0.5,0.001,8,32
64,128,0.9971776604652405,512,0.5,0.001,8,32
64,128,0.9971776604652405,256,0.5,0.001,8,32
64,128,0.9971776604652405,256,0.5,0.001,8,32
64,128,0.9970291256904602,256,0.5,0.001,8,32
64,128,0.9970291256904602,512,0.5,0.001,8,32
64,128,0.9970291256904602,256,0.5,0.001,8,32
64,128,0.9968805909156799,256,0.5,0.001,8,32
64,128,0.9968805909156799,256,0.5,0.001,8,32
64,128,0.9967319965362549,256,0.5,0.001,8,32
64,128,0.9967319965362549,512,0.5,0.001,8,32
32,128,0.9965834617614746,256,0.5,0.001,8,32
64,128,0.9964349269866943,512,0.5,0.001,8,32
64,128,0.9964349269866943,256,0.5,0.001,8,32
64,128,0.9962863922119141,256,0.5,0.001,8,32
64,128,0.9962863922119141,256,0.5,0.001,8,32
32,128,0.9961378574371338,512,0.3,0.001,8,16
32,64,0.9961378574371338,256,0.5,0.001,8,32
64,128,0.9958407878875732,256,0.5,0.001,8,32
32,64,0.9956921935081482,512,0.3,0.001,8,32
64,64,0.9955436587333679,512,0.3,0.001,16,16
64,128,0.9955436587333679,512,0.3,0.001,16,16
64,128,0.9955436587333679,512,0.3,0.001,16,32
64,128,0.9953951239585876,512,0.5,0.001,8,32
64,128,0.9953951239585876,512,0.5,0.001,8,32
64,128,0.9952465891838074,256,0.5,0.001,8,32
64,128,0.9952465891838074,256,0.5,0.001,8,32
64,128,0.9952465891838074,512,0.5,0.001,8,32
64,128,0.9949495196342468,256,0.5,0.001,8,32
32,128,0.9945038557052612,256,0.3,0.001,8,32
64,128,0.9945038557052612,512,0.5,0.001,8,32
64,64,0.994355320930481,256,0.5,0.01,16,32
64,128,0.9942067861557007,512,0.5,0.001,8,32
64,64,0.9940582513809204,256,0.3,0.001,16,32
32,64,0.9930184483528137,256,0.3,0.01,16,32
64,128,0.9921271800994873,256,0.3,0.01,8,16
64,128,0.9919785857200623,256,0.5,0.01,16,16
64,64,0.9913844466209412,512,0.5,0.001,8,16
32,64,0.9903446435928345,512,0.5,0.01,8,32
64,64,0.9898989796638489,512,0.3,0.01,8,32
64,64,0.9897504448890686,256,0.5,0.01,8,16
64,128,0.9872251749038696,256,0.5,0.01,16,32
64,128,0.9857397675514221,512,0.3,0.01,16,32
64,128,0.9855912327766418,512,0.5,0.01,16,32
32,128,0.9845513701438904,512,0.5,0.01,16,32
32,64,0.9832144975662231,512,0.5,0.01,16,32
