                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4685,                 3.4978,                0.90949,                0.74829,                0.55054,                0.61219,                0.36577,                 1.2898,                 1.3877,                0.88169,               0.003316,               0.003316,               0.003316
                      2,                 1.4098,                  1.273,                 0.8887,                0.78951,                0.59424,                0.66041,                0.37385,                 1.3199,                 1.2586,                 0.8911,              0.0066164,              0.0066164,              0.0066164
                      3,                 1.4545,                  1.062,                0.90161,                0.70071,                0.39655,                0.41548,                 0.2548,                 1.4402,                 5.4482,                0.95119,              0.0098838,              0.0098838,              0.0098838
                      4,                 1.4639,                 1.0191,                0.91028,                 0.7769,                0.52555,                0.57765,                0.31448,                 1.4849,                 1.0989,                0.93063,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.3814,                0.94667,                0.89515,                0.84236,                0.58408,                0.65835,                0.40455,                 1.2316,                 0.8385,                0.88758,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.3112,                0.87368,                0.88598,                0.81481,                 0.6325,                0.69879,                0.42882,                 1.2017,                 0.8966,                0.87759,               0.009802,               0.009802,               0.009802
                      7,                 1.2856,                 0.8374,                0.88114,                0.85861,                0.63297,                0.71438,                0.45311,                 1.1166,                0.73388,                0.86547,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.2581,                 0.8239,                0.87003,                0.79748,                0.56424,                0.64405,                0.42328,                  1.134,                 0.8257,                 0.8642,               0.009703,               0.009703,               0.009703
                      9,                 1.2382,                0.80127,                0.86841,                0.85601,                0.66133,                 0.7449,                0.46977,                 1.0919,                0.70308,                0.85577,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.2222,                0.76905,                0.86669,                 0.8255,                0.66722,                0.74351,                0.47614,                  1.049,                0.76087,                0.85187,               0.009604,               0.009604,               0.009604
                     11,                  1.203,                0.76024,                0.86036,                0.83135,                0.66363,                0.74214,                0.47022,                 1.1006,                0.71652,                0.85851,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.1842,                0.74827,                0.85947,                0.84076,                0.68068,                0.75636,                0.47522,                 1.0746,                0.72127,                0.85825,               0.009505,               0.009505,               0.009505
