                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3637,                 3.3339,                0.89365,                 1.8101,                 5.9656,                0.88186,                0.66657,                0.56322,                0.59762,                0.33994,                 1.2228,                 1.8585,                0.86602,                 1.6424,                 2.7388,                0.85493,              0.0033172,              0.0033172,              0.0033172
                      2,                 1.3645,                 1.3991,                0.88829,                 1.7882,                 1.7701,                0.87901,                 0.7028,                0.49689,                0.54338,                0.31727,                 1.3969,                 1.2312,                0.90693,                 1.7703,                 1.5998,                0.88421,              0.0066176,              0.0066176,              0.0066176
                      3,                  1.436,                 1.1154,                0.90853,                 1.8481,                 1.3923,                0.89906,                0.53592,                0.40085,                0.38835,                0.22206,                 1.3349,                 12.303,                0.92921,                  1.844,                 12.907,                0.93386,               0.009885,               0.009885,               0.009885
                      4,                  1.402,                0.99861,                0.91358,                 1.8452,                 1.2884,                0.90637,                0.75981,                0.55042,                0.60104,                0.34233,                 1.3889,                0.94008,                0.91629,                  1.746,                 1.1308,                0.90872,              0.0098515,              0.0098515,              0.0098515
                      5,                  1.303,                0.88053,                0.89069,                 1.7177,                 1.1146,                0.88607,                0.76124,                0.60215,                0.67475,                0.40887,                 1.2704,                 1.1234,                 0.8905,                 1.5628,                 1.0254,                0.87031,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.2018,                0.77623,                0.87925,                 1.6355,                0.99871,                0.87644,                0.80649,                0.63614,                 0.7049,                  0.429,                 1.1181,                0.72134,                0.86563,                 1.5535,                0.90572,                0.86323,               0.009802,               0.009802,               0.009802
                      7,                  1.159,                0.74129,                0.87145,                 1.5943,                0.96928,                0.86885,                0.81286,                0.65694,                0.73837,                0.47601,                 1.0102,                 0.7259,                0.85092,                 1.3775,                 0.9033,                  0.851,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.1435,                0.71978,                 0.8651,                 1.5809,                0.93483,                0.86341,                0.84162,                0.67544,                 0.7479,                0.45412,                 1.0927,                0.66548,                0.85244,                 1.5318,                0.86926,                0.85333,               0.009703,               0.009703,               0.009703
                      9,                 1.1444,                0.71106,                0.86728,                 1.5587,                0.90633,                0.86037,                0.84065,                0.70644,                0.78153,                0.49636,                 1.0639,                0.63616,                 0.8543,                 1.3864,                0.75619,                0.84593,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.1342,                0.69928,                0.86105,                 1.5148,                0.86453,                0.85896,                0.83631,                0.68985,                0.76968,                0.51251,                 1.0014,                0.63675,                0.84631,                 1.3159,                0.75671,                0.83987,               0.009604,               0.009604,               0.009604
